Russell_member,uni_sld,Manual_Num_sw_records,Category
no,abdn,0,No direct software search capability
no,abertay,5,Contains software
no,alt,0,No direct software search capability
no,anglia,0,No direct software search capability
no,aston,0,No direct software search capability
no,bangor,8,Contains software
no,bath,25,Contains software
no,bathspa,0,No direct software search capability
no,bbk,0,No direct software search capability
no,bcu,0,No direct software search capability
no,bgro,0,No direct software search capability
yes,bham,65,Contains software
no,bolton,0,No direct software search capability
no,bournemouth,2,Contains software
no,brad/,0,No direct software search capability
no,brighton,13,Contains software
yes,bris,84,Contains software
no,brookes,0,No direct software search capability
no,brunel,0,No direct software search capability
no,buckingham,0,Does not contain software
no,bucks,0,No direct software search capability
yes,cam,45,Contains software
no,canterbury,0,Does not contain software
yes,cardiff,0,No direct software search capability
no,ceda,0,No direct software search capability
no,chesterrep,0,Does not contain software
no,chi/,0,No direct software search capability
no,city,9,Contains software
no,coventry,0,No direct software search capability
no,cranfield,0,Does not contain software
no,cssd/,0,No direct software search capability
no,cumbria,0,No direct software search capability
no,derby,2,Contains software
no,dmu,0,No direct software search capability
no,dundee,22,Contains software
yes,dur,0,No direct software search capability
yes,ed,66,Contains software
no,edgehill,4,Contains software
no,eqmu/,0,No direct software search capability
no,essex,0,No direct software search capability
yes,exeter,23,Contains software
no,falmouth,0,No direct software search capability
no,gcu,1,Contains software
yes,gla,117,Contains software
no,glos,4,Contains software
no,glyndwr,0,No direct software search capability
no,gold,28,Contains software
no,gre,0,No direct software search capability
no,gsa,0,No direct software search capability
no,hau,0,No direct software search capability
no,herts,0,No direct software search capability
no,hope,0,No direct software search capability
no,hud,13,Contains software
no,hull-,0,No direct software search capability
no,ids,0,No direct software search capability
yes,imperial,286,Contains software
no,ioe,0,No direct software search capability
yes,kcl,26,Contains software
no,keele,0,No direct software search capability
no,kent,24,Contains software
no,kingston,0,No direct software search capability
no,lancs,0,No direct software search capability
no,lau,0,No direct software search capability
no,lbslondon,0,No direct software search capability
no,leedsbeckett,0,Does not contain software
no,lincoln,0,No direct software search capability
yes,liverpool,16,Contains software
no,ljmu,0,No direct software search capability
no,londonmet,0,No direct software search capability
yes,lse,0,No direct software search capability
no,lshtm,0,No direct software search capability
no,lstmed,0,No direct software search capability
no,man,0,No direct software search capability
yes,manchester,25,Contains software
no,marjon,0,No direct software search capability
no,mdx,0,No direct software search capability
no,mmu,0,No direct software search capability
no,napier,0,No direct software search capability
no,ncl,0,No direct software search capability
no,ncrm,0,No direct software search capability
no,nerc,0,No direct software search capability
no,newman,0,No direct software search capability
no,northampton,1,Contains software
no,northumbria,0,No direct software search capability
yes,nottingham,0,No direct software search capability
no,ntu,10,Contains software
no,open,0,No direct software search capability
no,openlsbu,0,Does not contain software
no,opensurrey,0,No direct software search capability
yes,ox,0,No direct software search capability
no,plymouth,0,No direct software search capability
no,plymsea,0,No direct software search capability
no,port,29,Contains software
yes,qmul,0,No direct software search capability
yes,qub,39,Contains software
no,rau,0,No direct software search capability
no,rave,0,No direct software search capability
no,rca,0,No direct software search capability
no,rcm,0,No direct software search capability
no,reading,5,Contains software
no,rgu-,0,No direct software search capability
no,rl,0,No direct software search capability
no,roehampton,0,No direct software search capability
no,rothamsted,76,Contains software
no,royalholloway,6,Contains software
no,rvc,0,No direct software search capability
no,salford,0,No direct software search capability
no,sas,0,No direct software search capability
no,sgul,0,Does not contain software
no,shef,2,Contains software
no,shu,0,No direct software search capability
no,soas,0,No direct software search capability
no,solent/,0,No direct software search capability
no,soton,13,Contains software
no,sruc,2,Contains software
no,st-andrews,207,Contains software
no,staffs,0,No direct software search capability
no,stfc/repub,0,No direct software search capability
no,stir/,0,No direct software search capability
no,stmarys,0,No direct software search capability
no,strath,0,No direct software search capability
no,sunderland,0,Does not contain software
no,surrey,0,No direct software search capability
no,sussex,0,No direct software search capability
no,swan,0,Does not contain software
no,tees,4,Contains software
no,ual,0,No direct software search capability
no,uca,0,No direct software search capability
yes,ucl,7,Contains software
no,uclan,0,No direct software search capability
no,uea,0,Does not contain software
no,uel,1,Contains software
no,uhblibrary,0,No direct software search capability
no,ulster,10,Contains software
no,uobrep,0,Does not contain software
no,uwe-,0,No direct software search capability
no,uwl,0,No direct software search capability
no,uwtsd,0,No direct software search capability
yes,warwick,0,No direct software search capability
no,westminster,31,Contains software
yes,whiterose,0,No direct software search capability
no,winchester,0,Does not contain software
no,wlv,0,No direct software search capability
no,worc,0,No direct software search capability
no,writtle,0,Does not contain software
yes,york,53,Contains software
no,yorksj,0,No direct software search capability
